中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,17 ms,7 Mbps,950 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,63 ms,43 Mbps,5603 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,59 ms,347 Mbps,44441 kB/s
34.82.76.253,443,104.198.8.26,US,Seattle,隧道,58 ms,509 Mbps,65228 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,55 ms,47 Mbps,6040 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,32 ms,816 Mbps,104448 kB/s
154.23.240.232,443,154.23.240.232,US,Los Angeles,中转,61 ms,38 Mbps,4970 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,26 ms,349 Mbps,44748 kB/s
47.253.129.190,443,47.253.129.190,US,Ashburn,中转,45 ms,36 Mbps,4710 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,17 ms,477 Mbps,61132 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,120 ms,43 Mbps,5504 kB/s
35.230.79.26,443,35.212.224.237,US,Seattle,隧道,60 ms,524 Mbps,67174 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,35 ms,90 Mbps,11571 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,75 ms,315 Mbps,40345 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,57 ms,421 Mbps,53964 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,51 ms,408 Mbps,52326 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,42 ms,72 Mbps,9264 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,80 ms,418 Mbps,53555 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,149 ms,139 Mbps,17817 kB/s
35.197.23.75,443,35.212.224.237,US,Seattle,隧道,67 ms,491 Mbps,62873 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,128 ms,186 Mbps,23859 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,51 ms,47 Mbps,6077 kB/s
132.226.31.178,443,2a09:bac5:60eb:78::c:347,US,Los Angeles,隧道,81 ms,43 Mbps,5535 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,55 ms,5 Mbps,742 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,62 ms,384 Mbps,49254 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,110 ms,208 Mbps,26726 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,119 ms,184 Mbps,23552 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,51 ms,49 Mbps,6280 kB/s
144.21.62.141,443,2a0b:21c0:1007:1ca:0:fab8:1157:2d85,DE,Frankfurt,隧道,115 ms,130 Mbps,16691 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,124 ms,229 Mbps,29388 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,118 ms,208 Mbps,26726 kB/s
141.148.243.63,443,2a0b:21c0:1007:c8:0:8ef2:e3cc:260e,DE,Frankfurt,隧道,118 ms,108 Mbps,13824 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,66 ms,1 Mbps,145 kB/s
